Date,Open
2013-12-13,494.1
2013-12-16,492.2
2013-12-17,486.7
2013-12-18,490.0
2013-12-19,498.5
2013-12-20,485.15
2013-12-23,489.95
2013-12-24,488.8
2013-12-26,487.0
2013-12-27,490.65
2013-12-30,486.05
2013-12-31,486.5
2014-01-01,494.4
2014-01-02,501.4
2014-01-03,483.0
2014-01-06,491.35
2014-01-07,491.0
2014-01-08,490.55
2014-01-09,488.35
2014-01-10,488.0
2014-01-13,488.7
2014-01-14,492.0
2014-01-15,486.0
2014-01-16,495.0
2014-01-17,497.45
2014-01-20,491.5
2014-01-21,478.0
2014-01-22,478.85
2014-01-23,473.9
2014-01-24,469.25
2014-01-27,474.0
2014-01-28,475.25
2014-01-29,478.1
2014-01-30,478.0
2014-01-31,474.15
2014-02-03,468.25
2014-02-04,465.05
2014-02-05,473.2
2014-02-06,485.55
2014-02-07,487.0
2014-02-10,492.8
2014-02-11,489.1
2014-02-12,479.0
2014-02-13,477.35
2014-02-14,469.65
2014-02-17,474.85
2014-02-18,473.5
2014-02-19,472.0
2014-02-20,466.65
2014-02-21,462.25
2014-02-24,464.5
2014-02-25,471.5
2014-02-26,470.5
2014-02-28,477.75
2014-03-03,471.5
2014-03-04,471.55
2014-03-05,477.4
2014-03-06,476.5
2014-03-07,475.9
2014-03-10,482.0
2014-03-11,487.6
2014-03-12,481.0
2014-03-13,498.0
2014-03-14,491.0
2014-03-18,496.5
2014-03-19,503.0
2014-03-20,513.5
2014-03-21,516.15
2014-03-22,509.0
2014-03-24,507.5
2014-03-25,524.5
2014-03-26,526.55
2014-03-27,527.45
2014-03-28,542.0
2014-03-31,540.0
2014-04-01,547.75
2014-04-02,536.0
2014-04-03,523.55
2014-04-04,543.0
2014-04-07,531.0
2014-04-09,542.35
2014-04-10,544.3
2014-04-11,540.0
2014-04-15,544.0
2014-04-16,537.65
2014-04-17,537.9
2014-04-21,547.0
2014-04-22,540.2
2014-04-23,532.25
2014-04-25,534.5
2014-04-28,515.0
2014-04-29,502.0
2014-04-30,498.2
2014-05-02,505.0
2014-05-05,510.25
2014-05-06,521.0
2014-05-07,510.0
2014-05-08,504.3
2014-05-09,504.45
2014-05-12,520.25
2014-05-13,539.3
2014-05-14,544.9
2014-05-15,563.9
2014-05-16,540.0
2014-05-19,542.0
2014-05-20,535.0
2014-05-21,528.0
2014-05-22,549.5
2014-05-23,538.5
2014-05-26,532.0
2014-05-27,526.0
2014-05-28,522.6
2014-05-29,510.0
2014-05-30,507.0
2014-06-02,504.35
2014-06-03,511.0
2014-06-04,507.7
2014-06-05,509.6
2014-06-06,512.0
2014-06-09,507.9
2014-06-10,530.0
2014-06-11,538.05
2014-06-12,541.0
2014-06-13,549.3
2014-06-16,535.9
2014-06-17,540.0
2014-06-18,560.0
2014-06-19,559.6
2014-06-20,570.0
2014-06-23,568.45
2014-06-24,574.1
2014-06-25,580.1
2014-06-26,589.9
2014-06-27,586.2
2014-06-30,585.0
2014-07-01,593.3
2014-07-02,586.55
2014-07-03,585.1
2014-07-04,584.9
2014-07-07,588.65
2014-07-08,590.4
2014-07-09,590.1
2014-07-10,595.0
2014-07-11,581.25
2014-07-14,571.15
2014-07-15,594.5
2014-07-16,580.5
2014-07-17,580.0
2014-07-18,580.9
2014-07-21,587.95
2014-07-22,597.9
2014-07-23,606.0
2014-07-24,602.75
2014-07-25,620.2
2014-07-28,640.0
2014-07-30,632.0
2014-07-31,644.0
2014-08-01,620.1
2014-08-04,625.1
2014-08-05,629.9
2014-08-06,628.25
2014-08-07,640.0
2014-08-08,628.0
2014-08-11,617.0
2014-08-12,618.0
2014-08-13,614.0
2014-08-14,620.0
2014-08-18,622.8
2014-08-19,620.5
2014-08-20,614.0
2014-08-21,614.0
2014-08-22,613.0
2014-08-25,615.9
2014-08-26,604.0
2014-08-27,606.5
2014-08-28,620.15
2014-09-01,627.1
2014-09-02,629.75
2014-09-03,630.0
2014-09-04,625.25
2014-09-05,634.9
2014-09-08,650.0
2014-09-09,674.8
2014-09-10,663.0
2014-09-11,655.0
2014-09-12,655.15
2014-09-15,667.0
2014-09-16,662.0
2014-09-17,647.2
2014-09-18,641.25
2014-09-19,662.4
2014-09-22,665.8
2014-09-23,652.5
2014-09-24,630.0
2014-09-25,641.5
2014-09-26,618.0
